raw_affiliation,affiliation_name,wikidata
"Dept of Computer Science, UNC Charlotte, USA",University of North Carolina at Chapel Hill,https://www.wikidata.org/wiki/Q192334
"Paluno - The Ruhr Institute for Software Technology, University of Duisburg-Essen, Duisburg, Germany",university of duisburg-essen,http://www.wikidata.org/entity/Q696757
"Department of Computer Science and Engineering, Seoul National University, Seoul, Korea",seoul national university,http://www.wikidata.org/entity/Q39913
"Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN, USA",university of notre dame,http://www.wikidata.org/entity/Q178848
Leipzig University,leipzig university,http://www.wikidata.org/entity/Q154804
German Aerospace Center DLR,german aerospace center dlr,https://www.wikidata.org/wiki/Q157332
University of Southern Denmark,university of southern denmark,http://www.wikidata.org/entity/Q2166335
"SCI Institute, University of Utah, Salt Lake City, UT, USA",university of utah,http://www.wikidata.org/entity/Q168515
"Visualization Research Center (VISUS), University of Stuttgart, Stuttgart, Germany",university of stuttgart,http://www.wikidata.org/entity/Q122453
"Georgia Institute of Technology, Atlanta, GA",georgia institute of technology,http://www.wikidata.org/entity/Q864855
University of British Columbia,university of british columbia,http://www.wikidata.org/entity/Q391028
Ochanomizu University,ochanomizu university,http://www.wikidata.org/entity/Q1152391
"Department of Computer Science, University of California, Davis",university of california,http://www.wikidata.org/entity/Q622664
Combustion Research FacilitySandia National Laboratories,combustion research facilitysandia national laboratories,https://www.wikidata.org/wiki/Q1736748
"Centre for Secure, Intelligent and Usable Systems, School of Computing, Engineering and Mathematics, University of Brighton, Brighton, United Kingdom",university of brighton,http://www.wikidata.org/entity/Q3056813
"Department of Computer Science, Edge Hill University, Ormskirk, United Kingdom",edge hill university,http://www.wikidata.org/entity/Q937482
"School of Computer Science and Informatics, Cardiff University, Cardiff, United Kingdom",cardiff university,http://www.wikidata.org/entity/Q1035745
"JARA – High-Performance Computing and the Visual Computing Institute, RWTH Aachen University, Aachen, Germany",rwth aachen university,http://www.wikidata.org/entity/Q273263
"Institute for Combustion Technology, RWTH Aachen University, Aachen, Germany",rwth aachen university,http://www.wikidata.org/entity/Q273263
"State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China",beihang university,http://www.wikidata.org/entity/Q2299797
"State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, Beijing, China",state key laboratory of computer science,https://www.wikidata.org/wiki/Q530471
"Department of Computer Science, Stony Brook University, New York, NY, USA",stony brook university,http://www.wikidata.org/entity/Q969850
"Department of Biomedical Engineering, McConnell Brain Imaging Center, Montreal Neurological Institute, McGill University, Montreal, Canada",mcgill university,http://www.wikidata.org/entity/Q201492
"Department of Computer Science and Software Engineering, Concordia University, Montreal, Canada",concordia university,http://www.wikidata.org/entity/Q326342
"Computer Science, Norwegian University of Science and Technology, Gjøvik, Norway",norwegian university of science and technology,http://www.wikidata.org/entity/Q314536
"Psychology, Justus-Liebig-Universität Giessen, Giessen, Germany",justus-liebig-universität giessen,http://www.wikidata.org/entity/Q101372869
"Pismo Software Ltd., Oxford, United Kingdom",pismo software ltd.,https://pismo.io/
"Computer Science, Loughborough University, Loughborough, United Kingdom",loughborough university,http://www.wikidata.org/entity/Q1434547
"Texas A&M University, College Station, TX, USA",texas a&m university,http://www.wikidata.org/entity/Q49212
"University of Florida, Gainesville, FL, USA",university of florida,http://www.wikidata.org/entity/Q501758
"Department of Computer Science, University of Southern California, Los Angels, CA, USA",university of southern california,http://www.wikidata.org/entity/Q4614
"Visual Computing Group, Institute of Science and Technology Austria, Klosterneuburg, Austria",institute of science and technology austria,http://www.wikidata.org/entity/Q1665176
"Technische Universität München, München, Germany",technische universität münchen,http://www.wikidata.org/entity/Q157808
"Department of Computer Science, University of Tokyo, Hongo, Bunkyo-ku, Tokyo, Japan",university of tokyo,http://www.wikidata.org/entity/Q7842
"National Institute of Informatics, Chiyoda-ku, Tokyo, Japan",national institute of informatics,http://www.wikidata.org/entity/Q4346622
"State key laboratory of CAD&CG, Zhejiang University, Hangzhou, China",zhejiang university,http://www.wikidata.org/entity/Q197543
"University of Nevada, Reno, NV, USA",university of nevada,http://www.wikidata.org/entity/Q1185955
"Sch. of Comput. Eng., Nanyang Technol. Univ., Singapore, Singapore",nanyang technology university,https://www.wikidata.org/wiki/Q721064
"Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA",purdue university,http://www.wikidata.org/entity/Q217741
"Sch. of Comput., Inf., & Decision Syst. Eng., Arizona State Univ., Tempe, AZ, USA",arizona state university,http://www.wikidata.org/entity/Q670897
"Dept. of Comput. Eng., Sejong Univ., Seoul, South Korea",sejong university,http://www.wikidata.org/entity/Q491711
"INRIA-Saclay, Univ. Paris-Sud, Orsay, France",university paris-sud,https://www.wikidata.org/wiki/Q1480643
"Dept. of Control Eng. & Inf. Technol., Budapest Univ. of Technol. & Econ., Budapest, Hungary",budapest university of technology & econ.,https://www.wikidata.org/wiki/Q1186843
"Fak. fur Inf., Tech. Univ. Chemnitz, Chemnitz, Germany",technology university chemnitz,https://www.wikidata.org/wiki/Special:EntityPage/Q159630
"State Key Lab. of CAD & CG, Zhejiang Univ., Hangzhou, China",zhejiang university,http://www.wikidata.org/entity/Q197543
"Dept. of Comput. Sci., Univ. of Houston, Houston, TX, USA",university of houston,https://www.wikidata.org/wiki/Q1472358
"Univ. of Erlangen-Nuremberg, Erlangen, Germany",university of erlangen-nuremberg,http://www.wikidata.org/entity/Q40025
"Elektrobit Automotive GmbH, Erlangen, Germany",elektrobit automotive gmbh,http://www.wikidata.org/entity/Q556
"Dept. of Comput. Sci., Simon Fraser Univ., Burnaby, BC, Canada",simon fraser university,http://www.wikidata.org/entity/Q201603
"Fak. fur Inf., Univ. Wien, Vienna, Austria",university wien,https://www.wikidata.org/wiki/Special:EntityPage/Q165980
"Dept. of Math., Simon Fraser Univ., Burnaby, BC, Canada",simon fraser university,http://www.wikidata.org/entity/Q201603
"Dept. of Comput. Sci., Korea Adv. Inst. of Sci. & Technol., Daejeon, South Korea",korea adv. institute of science & technology,https://www.wikidata.org/wiki/Special:EntityPage/Q39949
"Dept. of Electr. Eng. & Comput. Sci., Univ. of Michigan, Ann Arbor, MI, USA",university of michigan,http://www.wikidata.org/entity/Q230492
"Dept. of Comput. Sci., Univ. of Wisconsin, Madison, WI, USA",university of wisconsin,http://www.wikidata.org/entity/Q838330
"Dept. of Comput. Sci., Stony Brook Univ., Stony Brook, NY, USA",stony brook university,http://www.wikidata.org/entity/Q969850
"Sch. of Electr. Eng. & Comput. Sci., Louisiana State Univ., Baton Rouge, LA, USA",louisiana state university,http://www.wikidata.org/entity/Q1521725
"Graz University of Technology, Graz",graz university of technology,http://www.wikidata.org/entity/Q689775
"Dept. of Comput. Sci. & Inf. Eng., Nat. Taiwan Univ., Taipei, Taiwan",national taiwan university,http://www.wikidata.org/entity/Q32746
"Dept. of Comput. Sci., Univ. of California, Davis, Davis, CA, USA",university of california,http://www.wikidata.org/entity/Q622664
"Comput. Earth Sci. Group (EES-16), Los Alamos Nat. Lab., Los Alamos, NM, USA",los alamos national laboratory,http://www.wikidata.org/entity/Q379848
"Deutschland, Univ. Leipzig, Leipzig, Germany",university leipzig,https://www.wikidata.org/wiki/Q154804
"Fachbereich Inf., Tech. Univ. Kaiserslautern, Kaiserslautern, Germany",technology university kaiserslautern,https://www.wikidata.org/wiki/Q678965
"Dept. of Comput. Sci., Stanford Univ., Stanford, CA, USA",stanford university,http://www.wikidata.org/entity/Q41506
"Dept. of Comput. Sci. & Eng., Indian Inst. of Technol. Bombay, Mumbai, India",indian institute of technology bombay,http://www.wikidata.org/entity/Q1661242
"Shanghai Key Laboratory of Multidimensional Information Processing, and Department of Computer Science & Technology, East China Normal University, Shanghai, China",east china normal university,http://www.wikidata.org/entity/Q2034790
"Department of Mathematics, The Chinese University of Hong Kong, Shatin, NT, Hong Kong",the chinese university of hong kong,http://www.wikidata.org/entity/Q15570
"Beijing Advanced Innovation Center for Big Data and Brain Computing, School of Computer Science and Engineering, Beihang University, Beijing, China",beihang university,http://www.wikidata.org/entity/Q2299797
"State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences and UCAS, Beijing, China",state key laboratory of computer science,https://lcs.ios.ac.cn/en/
"Yahoo Labs, New York, NY, USA",yahoo labs,https://www.wikidata.org/wiki/Q37093
"School of Computing, Informatics, Decision Systems Engineering, Arizona State University, Tempe, AZ, USA",arizona state university,http://www.wikidata.org/entity/Q670897
"Department of Computer Science & Engineering, University of Notre Dame, Notre Dame, IN, USA",university of notre dame,http://www.wikidata.org/entity/Q178848
"Department of Computer Science, Peking University, Beijing, China",peking university,http://www.wikidata.org/entity/Q16952
"Academy of Arts & Design, Tsinghua University, Beijing, China",tsinghua university,http://www.wikidata.org/entity/Q16955
"School of Software, Shandong University, Jinan, China",shandong university,http://www.wikidata.org/entity/Q604470
"School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China",nanjing university of science and technology,http://www.wikidata.org/entity/Q3953805
"Inria, CNRS, Grenoble INP, LJK, Univercity Grenoble Alpes, Grenoble, France",univercity grenoble alpes,https://www.wikidata.org/wiki/Special:EntityPage/Q945876
"Mathematics, University of Science and Technology of China, Hefei, Anhui, China",university of science and technology of china,http://www.wikidata.org/entity/Q1074103
"Computer Science, New York University Courant Institute of Mathematical Sciences, New York, NY, USA",new york university courant institute of mathematical sciences,https://www.wikidata.org/wiki/Q49210
"Computer Science, New York University Courant Institute of Mathematical Sciences, New Yor, NY, USA",new york university courant institute of mathematical sciences,https://www.wikidata.org/wiki/Q49210
"RWTH Aachen University, Aachen, Germany",rwth aachen university,http://www.wikidata.org/entity/Q273263
"Institute of Computer Graphics and Vision, Graz University of Technology, Graz, Austria",graz university of technology,http://www.wikidata.org/entity/Q689775
"Virtual Worlds and Digital Games Group, Ilmenau University of Technology, Ilmenau, Germany",ilmenau university of technology,http://www.wikidata.org/entity/Q129195
"Department of Information and Computer Science, Keio University, Minato City, Tokyo, Japan",keio university,http://www.wikidata.org/entity/Q815432
"Université de Reims Champagne-Ardenne, Reims, France",université de reims champagne-ardenne,http://www.wikidata.org/entity/Q2496149
