ID(n),area
443,VIS
764,VIS
1309,VIS
3219,VIS
3240,VIS
3370,VIS
5601,VIS
6763,VIS
6920,VIS
7265,VIS
7702,VIS
7809,VIS
8147,VIS
8376,VIS
9764,VIS
11076,VIS
12569,VIS
14433,VIS
14681,VIS
16004,VIS
16562,VIS
18213,VIS
18478,VIS
19456,VIS
19634,VIS
23532,VIS
33870,VIS
36387,VIS
49558,VIS
13427,VR
15192,VR
16628,VR
18202,VR
18828,VR
19314,VR
23657,VR
28216,VR
33412,VR
34046,VR
37623,VR
45755,VR
51838,VR
3483,Graphics
3586,Graphics
3947,Graphics
5684,Graphics
8746,Graphics
8905,Graphics
9811,Graphics
9852,Graphics
11357,Graphics
11877,Graphics
11970,Graphics
12079,Graphics
12121,Graphics
13010,Graphics
14528,Graphics
16174,Graphics
16607,Graphics
16935,Graphics
17549,Graphics
18060,Graphics
19178,Graphics
20018,Graphics
23135,Graphics
25579,Graphics
28293,Graphics
29605,Graphics
34128,Graphics
35853,Graphics
38113,Graphics
38832,Graphics
40035,Graphics
41376,Graphics
56793,Graphics
57280,Graphics
